Country_Name,Year,Gini_Index_(Official),Palma_Ratio,20/20_Income_Gap_Ratio,Income_Share:_Bottom_40%,Income_Share:_Poorest_20%,Income_Share:_Second_Quintile,Income_Share:_Middle_Quintile,Income_Share:_Fourth_Quintile,Income_Share:_Richest_20%,Income_Classification,World_Bank_Region,Total_Population,Inequality_Index_(UNDP),Gini_Index_(World Bank),Local_Currency,World_Bank_Lending_Group,Last_Census_Year,Inequality_Category
Austria,1972,26.7,2.05,9.12,21.1,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,7581117,17.13,37.53,Euro,IBRD,2011,Low Inequality
Austria,1977,24.3,2.05,9.12,20.2,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,7636576,17.13,37.53,Euro,IBRD,2011,Low Inequality
Austria,1991,26.3,2.05,9.12,25.18,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,7772701,17.13,37.53,Euro,IBRD,2011,Low Inequality
Belgium,1973,43.8,2.05,9.12,19,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,9720761,14.14,37.53,Euro,IDA,2011,Low Inequality
Belgium,1975,41.9,2.05,9.12,19,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,9771586,14.14,37.53,Euro,IDA,2011,Low Inequality
Belgium,1976,41.6,2.05,9.12,19,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,9794777,14.14,37.53,Euro,IDA,2011,Low Inequality
Belgium,1977,40.6,2.05,9.12,19,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,9816696,14.14,37.53,Euro,IDA,2011,Low Inequality
Belgium,1993,30.8,2.05,9.12,24.52,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,10118674,14.14,37.53,Euro,IDA,2011,Low Inequality
Belgium,1994,30.4,2.05,9.12,24.52,6.53,11.16,15.48,21.77,45.11,High income,Europe and Central Asia,10155919,14.14,37.53,Euro,IDA,2011,Low Inequality
Bulgaria,1967,16,2.05,9.12,25.93,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,8343387,15.66,37.53,Bulgarian lev,IBRD,2011,Low Inequality
Bulgaria,1968,15.9,2.05,9.12,25.93,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,8399919,15.66,37.53,Bulgarian lev,IBRD,2011,Low Inequality
Bulgaria,1969,15.9,2.05,9.12,25.93,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,8454501,15.66,37.53,Bulgarian lev,IBRD,2011,Low Inequality
Bulgaria,1970,18.8,2.05,9.12,25.93,6.53,11.16,15.48,21.77,45.11,Upper middle income,Europe and Central Asia,8507476,15.66,37.53,Bulgarian lev,IBRD,2011,Low Inequality
